vectorization,linkage,metric,mean,std,min,max,count
dense,complete,euclidean,0.5314800336841216,0.05576623278229018,0.47565482383306046,0.5997149539148539,6
dense,ward,euclidean,0.4871929957302122,0.08087371794541384,0.35228198615528694,0.5560990765764278,5
hybrid,ward,euclidean,0.2067255376879475,0.18975893132969468,0.023456536701196403,0.5144582639200588,5
tfidf,ward,euclidean,0.08354739788976849,0.01548787346321821,0.0647067545561682,0.10374495372174788,5
dense,average,euclidean,0.04833488143118656,0.015050535425992802,0.03196524743564569,0.06823300627921601,7
tfidf,complete,euclidean,0.047334889055660766,0.029721625855033715,0.010507794865830741,0.09616523808855806,6
hybrid,complete,euclidean,0.027482758058537556,0.018686347438188314,0.007131149334949408,0.06455851017061336,11
dense,single,euclidean,0.02148548517114872,0.018214206375726797,0.0045926905550256235,0.04982102798755256,5
tfidf,single,euclidean,0.02088605717857322,0.02080060368605526,0.00020697344078194607,0.04983235292166741,10
hybrid,single,euclidean,0.01279548935230074,0.010529046939845575,0.0025919412175607046,0.03632282225767061,14
hybrid,average,euclidean,0.012267256337533776,0.011608879326749791,0.0028982715589099483,0.050249010784498054,15
tfidf,average,euclidean,0.008581491864821362,0.012560152469242655,0.0015548828624638428,0.04404224078783044,11
