category,total_attributes,unique_attributes,unique_percentage,shared_attributes,shared_percentage,personas_without_attributes,personas_without_percentage,most_shared_count,avg_sharing
additionalAttributes,14,13,92.9,1,7.1,11,55.0,2,1.1
behavioralPatterns,6,5,83.3,1,16.7,15,75.0,2,1.2
beliefsAndValues,3,2,66.7,1,33.3,15,75.0,3,1.7
demographics,32,24,75.0,8,25.0,0,0.0,6,1.4
goalsAndAspirations,2,1,50.0,1,50.0,17,85.0,2,1.5
interestsAndHobbies,18,16,88.9,2,11.1,4,20.0,3,1.2
personalityTraits,6,6,100.0,0,0.0,14,70.0,1,1.0
preferencesAndFavorites,7,7,100.0,0,0.0,14,70.0,1,1.0
skillsAndAbilities,7,7,100.0,0,0.0,14,70.0,1,1.0
socialConnections,12,11,91.7,1,8.3,10,50.0,3,1.2
